type,adress,price,link_image
Baskets Adidas ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5662790_uploaded_image1_1765241874.jpg
Sandales orthopédique,"Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5662788_uploaded_image1_1765241793.jpg
Louis vuitton alden,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5659605_uploaded_image1_1765061738.jpg
Chaussures de ville,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5660977_uploaded_image1_1765145540.jpg
Chaussures de ville,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5660975_uploaded_image1_1765145484.jpg
Mocassins Croco ,"Yoff, Dakar, Sénégal",5 500CFA,https://images.coinafrique.com/thumb_5662701_uploaded_image1_1765232143.jpg
Chaussures de ville,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5660969_uploaded_image1_1765145356.jpg
Chaussures de ville,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5660971_uploaded_image1_1765145411.jpg
Chaussures de ville,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5660965_uploaded_image1_1765145291.jpg
Baskets homme,"Yoff, Dakar, Sénégal",6 500CFA,https://images.coinafrique.com/thumb_5662700_uploaded_image2_1765231883.jpeg
Nike Air Max moto ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5658152_uploaded_image1_1764971196.jpg
Nice Air Max ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5658154_uploaded_image1_1764971268.jpg
Baskets Nike Air Max moto,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5658145_uploaded_image1_1764970934.jpg
Baskets Adidas samba ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5656549_uploaded_image1_1764883907.jpg
Baskets Fendi,"Dakar, Sénégal",22 000CFA,https://images.coinafrique.com/thumb_5656541_uploaded_image1_1764883603.jpg
Baskets Nike nocta,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656544_uploaded_image1_1764883707.jpg
Baskets Louis vuitton ,"Dakar, Sénégal",22 000CFA,https://images.coinafrique.com/thumb_5656538_uploaded_image1_1764883544.jpg
Baskets Jordan 1,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656536_uploaded_image1_1764883328.jpg
Asic Gel Nyc ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656524_uploaded_image1_1764883061.jpg
Louis vuitton skate,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656527_uploaded_image1_1764883123.jpg
Dior cd,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656533_uploaded_image1_1764883235.jpg
Baskets Air force 1 montante ,"Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5656516_uploaded_image1_1764882787.jpg
Baskets Air force 1 ,"Dakar, Sénégal",19 000CFA,https://images.coinafrique.com/thumb_5656505_uploaded_image1_1764882446.jpg
New Balance Fuel cell,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656501_uploaded_image1_1764882356.jpg
Baskets Nike P6000,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656495_uploaded_image1_1764882253.jpg
New Balance ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656513_uploaded_image1_1764882662.jpg
Baskets Jordan 3 rétro ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5658114_uploaded_image1_1764969274.jpg
Baskets Jordan 3,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5656508_uploaded_image1_1764882568.jpg
Baskets Air force 1,"Dakar, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5656488_uploaded_image1_1764881966.jpg
Baskets Nike TN,"Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5656485_uploaded_image1_1764881869.jpg
Baskets Timberland ,"Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5656479_uploaded_image1_1764881761.jpg
Baskets Jordan 4 rétro,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656461_uploaded_image1_1764881200.jpg
Baskets Saucony,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656454_uploaded_image1_1764880975.jpg
Baskets Air Max 95,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5656457_uploaded_image1_1764881079.jpg
Baskets Asic 1130,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656446_uploaded_image1_1764880658.jpg
Sandale Dior alpha,"Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5656452_uploaded_image1_1764880848.jpg
Baskets Louis Vuitton,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656449_uploaded_image1_1764880744.jpg
Baskets New Balance 740,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656445_uploaded_image1_1764880538.jpg
Asic kayono 14,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656440_uploaded_image1_1764880329.jpg
Asic kayono,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5656438_uploaded_image1_1764880204.jpg
Chaussures hommes ,"Diamalaye 1, Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5662466_uploaded_image1_1765222050.jpg
Baskets New Balance ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5662321_uploaded_image1_1765216328.jpg
Chaussures homme ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5662016_uploaded_image1_1765206011.jpg
Chaussures homme,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5661679_uploaded_image1_1765195127.jpg
