type,adress,price,link_image
T-shirt unique en coton,"Dakar, Sénégal",3 000CFA,https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg
Ensemble femme ,"Colobane, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5624977_uploaded_image1_1763325894.jpg
Emsemble 100℅ coton ,"Colobane, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5624968_uploaded_image1_1763325481.jpg
Djialab coton,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5648803_uploaded_image1_1764526181.jpg
Emsemble,"Colobane, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5636850_uploaded_image1_1763913590.jpg
Jacket en jeans ,"Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5657793_uploaded_image1_1764952502.jpg
Ensemble homme,"Colobane, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5640578_uploaded_image1_1764085646.jpg
Djalabeh ,"Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5657721_uploaded_image1_1764949913.jpg
Djalabeh ,"Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5657723_uploaded_image1_1764949964.jpg
Caleçons ,"Dakar, Sénégal",1 000CFA,https://images.coinafrique.com/thumb_5657705_uploaded_image1_1764949059.jpg
Pull-over ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5657710_uploaded_image1_1764949465.jpg
Jacket ,"Dakar, Sénégal",14 000CFA,https://images.coinafrique.com/thumb_5657709_uploaded_image1_1764949418.jpg
Pantalon kaki ,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5657707_uploaded_image1_1764949208.jpg
Chemise,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5657708_uploaded_image1_1764949263.jpg
Gilet,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5657703_uploaded_image1_1764948943.jpg
Blouson ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5657571_uploaded_image1_1764942132.jpg
Ensemble homme ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5657576_uploaded_image1_1764942384.jpg
Pull ,"Colobane, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5635943_uploaded_image1_1763859233.jpg
Blouson longue manche ,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5635318_uploaded_image1_1763821463.jpg
Collants Nike,"Dakar, Sénégal",4 000CFA,https://images.coinafrique.com/thumb_5635312_uploaded_image1_1763821085.jpg
Blouson ,"Dakar, Sénégal",9 000CFA,https://images.coinafrique.com/thumb_5635309_uploaded_image1_1763820983.jpg
Ensemble longue manche,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5635299_uploaded_image1_1763820328.jpg
Ensemble coton,"Dakar, Sénégal",7 500CFA,https://images.coinafrique.com/thumb_5635259_uploaded_image1_1763818705.jpg
Ensemble longue manche,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5635224_uploaded_image1_1763816701.jpg
Polo manches courtes,"Sicap Liberté, Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5656710_uploaded_image1_1764890772.jpg
Costume wax homme,"Guediawaye, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5655663_uploaded_image1_1764851829.jpg
Polos homme,"Point E, Dakar, Sénégal",2 800CFA,https://images.coinafrique.com/thumb_5655261_uploaded_image1_1764838352.jpg
Ensembles blouson,"Guediawaye, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5653962_uploaded_image1_1764767662.jpg
Blouson,"Medina, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5652008_uploaded_image1_1764676040.jpg
Ensemble courte manche homme,"Parcelle Assainies, Dakar, Sénégal",9 000CFA,https://images.coinafrique.com/thumb_5648700_uploaded_image1_1764522517.jpg
Jeans homme ,"Parcelle Assainies, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5647708_uploaded_image1_1764461524.jpg
Jeans homme ,"Parcelle Assainies, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5647705_uploaded_image1_1764461139.jpg
Vêtements homme,"Yoff, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5640522_uploaded_image1_1764084134.jpg
Jackets homme,"Diamalaye 1, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5636688_uploaded_image1_1763904711.jpg
Costume africaine,"Ouakam, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5635768_uploaded_image1_1763846355.jpg
Ensemble short,"Dakar, Sénégal",5 500CFA,https://images.coinafrique.com/thumb_5588150_uploaded_image1_1761247547.jpg
